StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,P01,Q82,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q90,Q91,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q99,Q100,Q101,D1,D2,CompletionCode,Topic,Enter Embedded Data Field Name Here...
2017-11-27 23:58:24,2017-11-28 00:09:33,IP Address,216.96.36.86,100,668,True,2017-11-28 00:09:34,R_3k1kdhpcDPyVXhe,,,,,31.719802856445,-83.213203430176,anonymous,EN,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Undecided,Agree,Agree,Disagree,Undecided,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,1969,Female,44780349,Science,
2017-11-28 00:03:26,2017-11-28 00:09:39,IP Address,208.54.36.215,100,372,True,2017-11-28 00:09:40,R_xa1J1V9mNQzebE5,,,,,42.365997314453,-71.123001098633,anonymous,EN,Undecided,Disagree,Strongly Agree,Undecided,Strongly Agree,Disagree,Undecided,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Undecided,Strongly Agree,Undecided,Agree,Disagree,Disagree,Strongly Agree,Undecided,,,,,,,,,,,,,,,,,,,,,,1992,Female,98448080,Science,
2017-11-28 00:07:42,2017-11-28 00:10:02,IP Address,24.47.148.214,100,139,True,2017-11-28 00:10:02,R_1Oq1CobmRLBqlGB,,,,,41.224105834961,-73.051696777344,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Agree,Undecided,Strongly Agree,Undecided,Undecided,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Strongly Agree,Undecided,,1980,Male,43142248,PopCulture,
2017-11-28 00:07:50,2017-11-28 00:10:16,IP Address,75.135.211.103,100,146,True,2017-11-28 00:10:17,R_3lrDHo0o3h8FHt3,,,,,40.764404296875,-99.019401550293,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Strongly Agree,Agree,Disagree,Strongly Agree,Undecided,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Undecided,Disagree,Agree,Agree,Undecided,Undecided,Disagree,Disagree,Agree,,1978,Male,13221852,PopCulture,
2017-11-28 00:05:14,2017-11-28 00:10:38,IP Address,108.88.241.151,100,323,True,2017-11-28 00:10:39,R_2X7Lp9XBwAgNCu0,,,,,30.40299987793,-88.966003417969,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Agree,Agree,Disagree,Agree,Undecided,Strongly Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,,1991,Female,59543590,PopCulture,
2017-11-28 00:17:47,2017-11-28 00:19:12,IP Address,98.227.97.139,100,85,True,2017-11-28 00:19:13,R_3oTv4xOPnLNI3At,,,,,42.456298828125,-87.870399475098,anonymous,EN,Undecided,Agree,Agree,Agree,Agree,Agree,Undecided,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Undecided,Undecided,Agree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1974,Male,77390323,Science,
2017-11-28 00:18:41,2017-11-28 00:20:54,IP Address,70.215.130.184,100,132,True,2017-11-28 00:20:54,R_2pMoZXCouZB7QxX,,,,,34.917999267578,-89.821601867676,anonymous,EN,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Undecided,Agree,Disagree,Agree,Agree,Disagree,,,,,,,,,,,,,,,,,,,,,,1981,Male,10486867,Science,
2017-11-28 00:20:11,2017-11-28 00:24:02,IP Address,162.244.81.173,100,231,True,2017-11-28 00:24:03,R_1DvB8Ytjrb1A76S,,,,,44.433303833008,26.100006103516,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Undecided,Undecided,Agree,Agree,Agree,Undecided,Agree,Agree,Agree,Undecided,Agree,Undecided,Agree,Agree,Agree,Agree,1986,Male,21632897,PopCulture,
2017-11-28 00:21:58,2017-11-28 00:24:26,IP Address,50.32.224.107,100,148,True,2017-11-28 00:24:27,R_3MGXKplZPPLExJw,,,,,39.863098144531,-76.152496337891,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Agree,Agree,Undecided,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Undecided,Disagree,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,,1992,Female,77987871,PopCulture,
2017-11-28 00:22:51,2017-11-28 00:25:12,IP Address,66.31.209.176,100,141,True,2017-11-28 00:25:13,R_3gOukbGZYTnezo5,,,,,42.365203857422,-71.055099487305,anonymous,EN,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,,,,,,,,,,,,,,,,,,,,,,1986,Male,16193099,Science,
2017-11-28 00:24:38,2017-11-28 00:26:25,IP Address,141.155.190.188,100,106,True,2017-11-28 00:26:26,R_29phJxoBN0etTK7,,,,,40.670501708984,-74.106399536133,anonymous,EN,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Undecided,Disagree,Agree,Undecided,Undecided,Strongly Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,,,,1988,Female,34267100,Science,
2017-11-28 00:25:10,2017-11-28 00:28:18,IP Address,99.105.80.78,100,188,True,2017-11-28 00:28:19,R_3lMrx9f64aF275R,,,,,41.392807006836,-81.734703063965,anonymous,EN,,,,,,,,,,,,,,,,,,,,,Undecided,Agree,Agree,Agree,Disagree,Undecided,Undecided,Strongly Agree,Agree,Undecided,Strongly Agree,Agree,Strongly Disagree,Undecided,Strongly Agree,Disagree,Agree,Disagree,Disagree,Undecided,,1950,Female,72347557,PopCulture,
2017-11-28 00:35:09,2017-11-28 00:38:17,IP Address,108.89.35.172,100,187,True,2017-11-28 00:38:18,R_pDZpnunM02ppk6l,,,,,37.425003051758,-121.94599914551,anonymous,EN,Strongly Agree,Undecided,Disagree,Agree,Undecided,Undecided,Undecided,Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Undecided,Undecided,Undecided,Agree,Undecided,Agree,,,,,,,,,,,,,,,,,,,,,,1982,Male,55727230,Science,
2017-11-28 00:38:29,2017-11-28 00:39:53,IP Address,47.145.104.199,100,84,True,2017-11-28 00:39:54,R_12bZcJTIVqhI2Yk,,,,,33.8583984375,-118.06480407715,anonymous,EN,Agree,Agree,Agree,Undecided,Undecided,Undecided,Strongly Agree,Undecided,Undecided,Agree,Disagree,Undecided,Strongly Disagree,Undecided,Agree,Undecided,Undecided,Disagree,Disagree,Undecided,,,,,,,,,,,,,,,,,,,,,,1985,Male,46681519,Science,
